CombinedScore,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,In a Realtionship?,Gentle or Tuff behaviour?,Management or Technical,Salary/work,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
7.7250000000000005,8.9,8,6,2,3,9,yes,no,no,hadoop,database security,no,yes,medium,poor,parallel computing,security,higherstudies,Sales and Marketing,no,yes,Cookbooks,Work,yes,stubborn,Management,salary,hard worker,yes,yes,Mobile Applications Developer
7.8375,8.5,8,3,6,9,7,no,yes,no,machine learning,hacking,yes,yes,medium,excellent,parallel computing,testing,higherstudies,Testing and Maintainance Services,yes,no,Anthology,Work,yes,stubborn,Management,work,smart worker,yes,no,UX Designer
6.437499999999999,7.9,8,2,2,8,6,yes,no,yes,distro making,game development,yes,no,medium,poor,cloud computing,system developer,higherstudies,Service Based,yes,no,Trilogy,salary,yes,stubborn,Technical,work,smart worker,yes,no,CRM Technical Developer
7.550000000000001,9.1,12,5,3,6,5,no,no,yes,python,testing,no,no,poor,poor,parallel computing,developer,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,salary,yes,stubborn,Management,work,smart worker,yes,yes,Business Systems Analyst
7.3875,6.2,9,6,2,3,8,yes,no,yes,machine learning,hacking,yes,yes,poor,poor,Software Engineering,security,job,Testing and Maintainance Services,yes,no,Math,salary,no,stubborn,Management,work,hard worker,yes,no,Quality Assurance Associate
6.987500000000001,6.8,4,7,6,5,8,yes,yes,yes,information security,system designing,yes,no,medium,excellent,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Childrens,salary,no,stubborn,Technical,salary,hard worker,no,no,Web Developer
7.8375,6.0,11,7,5,5,4,no,no,yes,app development,hacking,no,no,medium,medium,IOT,developer,job,Sales and Marketing,yes,yes,Mystery,salary,yes,gentle,Technical,work,hard worker,yes,yes,Web Developer
7.35,6.0,4,9,6,3,4,no,yes,no,hadoop,web technologies,no,no,medium,excellent,hacking,security,job,product development,no,yes,Math,Work,yes,stubborn,Management,salary,smart worker,yes,no,Information Security Analyst
7.987499999999999,8.2,12,8,0,7,1,no,no,no,machine learning,testing,no,no,medium,medium,Computer Architecture,Business process analyst,higherstudies,Web Services,yes,no,Diaries,Work,yes,stubborn,Technical,work,hard worker,yes,no,CRM Business Analyst
7.475,6.9,12,6,0,2,8,no,yes,no,hadoop,system designing,yes,yes,excellent,excellent,parallel computing,cloud computing,job,SAaS services,yes,no,Autobiographies,Work,yes,stubborn,Management,work,hard worker,no,no,Information Security Analyst
7.699999999999999,7.0,4,5,0,2,5,yes,yes,yes,app development,game development,yes,no,medium,poor,parallel computing,security,higherstudies,Product based,no,no,Journals,Work,yes,stubborn,Technical,work,hard worker,yes,no,Database Developer
7.424999999999999,8.4,5,8,3,2,8,yes,yes,yes,hadoop,system designing,no,yes,excellent,poor,hacking,security,higherstudies,BPA,yes,no,History,Work,no,stubborn,Management,salary,hard worker,yes,yes,Business Systems Analyst
6.9625,6.5,4,9,6,4,5,no,no,no,r programming,system designing,yes,no,medium,excellent,cloud computing,system developer,job,BPA,no,yes,Art,salary,yes,gentle,Management,work,hard worker,no,yes,Quality Assurance Associate
7.425,6.9,9,9,5,7,6,no,yes,yes,shell programming,testing,yes,yes,excellent,poor,data engineering,testing,job,Service Based,no,no,Childrens,Work,yes,gentle,Management,work,smart worker,no,no,Technical Support
8.0375,6.6,4,7,5,5,1,yes,yes,no,full stack,testing,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,product development,no,yes,Childrens,salary,yes,stubborn,Technical,work,smart worker,no,yes,Technical Support
8.3,9.1,12,5,0,4,7,yes,yes,no,distro making,testing,yes,no,medium,excellent,networks,developer,higherstudies,SAaS services,yes,yes,History,Work,yes,stubborn,Technical,salary,hard worker,no,yes,Information Security Analyst
7.9125,6.7,4,8,5,1,8,no,yes,no,python,database security,no,yes,excellent,medium,programming,Business process analyst,higherstudies,SAaS services,no,yes,Self help,Work,no,stubborn,Management,salary,hard worker,yes,no,Business Intelligence Analyst
7.999999999999999,7.5,12,9,1,3,5,yes,yes,yes,app development,data science,no,yes,poor,excellent,parallel computing,security,job,Web Services,no,yes,Dictionaries,salary,yes,stubborn,Technical,work,smart worker,no,no,Project Manager
7.9375,8.7,11,1,0,1,8,yes,no,yes,app development,testing,no,yes,excellent,medium,cloud computing,cloud computing,higherstudies,BPA,yes,no,Art,Work,yes,gentle,Management,work,hard worker,no,no,Information Technology Manager
8.1625,8.5,4,3,1,2,6,yes,no,no,app development,testing,yes,yes,excellent,poor,networks,Business process analyst,higherstudies,Cloud Services,no,yes,Journals,salary,yes,gentle,Management,work,smart worker,yes,yes,Web Developer
7.7,9.0,4,2,3,9,8,no,yes,yes,python,data science,yes,no,poor,medium,data engineering,Business process analyst,higherstudies,BPA,no,yes,Self help,salary,yes,gentle,Technical,salary,hard worker,no,yes,Programmer Analyst
8.275,7.5,11,5,6,3,1,no,yes,no,full stack,game development,no,yes,excellent,poor,cloud computing,testing,job,product development,no,yes,Childrens,Work,yes,stubborn,Technical,work,smart worker,no,no,Business Systems Analyst
7.625,8.7,7,7,4,7,5,yes,yes,no,shell programming,testing,no,yes,excellent,excellent,data engineering,testing,job,Finance,yes,no,Horror,Work,no,stubborn,Technical,work,hard worker,no,no,Systems Security Administrator
7.3375,6.5,10,9,0,2,5,no,yes,no,full stack,database security,no,yes,excellent,poor,parallel computing,system developer,job,Finance,no,yes,Childrens,salary,yes,gentle,Management,work,hard worker,no,no,Business Systems Analyst
7.4625,7.6,11,8,4,2,9,yes,no,no,app development,web technologies,no,yes,poor,excellent,data engineering,security,job,Product based,yes,yes,Trilogy,Work,yes,stubborn,Technical,salary,smart worker,yes,no,Design & UX
7.612500000000001,8.0,9,8,6,2,9,no,yes,no,hadoop,hacking,yes,yes,excellent,excellent,Computer Architecture,testing,job,SAaS services,no,yes,Childrens,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Solutions Architect
7.737500000000001,7.8,11,3,6,9,5,no,no,yes,app development,system designing,no,no,poor,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Encyclopedias,Work,yes,gentle,Technical,salary,hard worker,no,yes,Business Systems Analyst
7.325,9.4,9,8,5,7,4,no,yes,no,shell programming,cloud computing,no,no,excellent,poor,hacking,Business process analyst,job,BPA,no,no,Encyclopedias,Work,yes,stubborn,Management,work,smart worker,no,yes,Systems Analyst
7.4375,6.3,8,8,0,4,7,yes,no,no,full stack,system designing,yes,no,medium,medium,data engineering,testing,job,Finance,yes,yes,Action and Adventure,Work,yes,stubborn,Technical,work,smart worker,no,yes,Network Security Administrator
7.962499999999999,6.2,10,6,2,1,8,yes,yes,yes,app development,hacking,yes,yes,poor,poor,cloud computing,Business process analyst,job,SAaS services,no,yes,Anthology,salary,yes,gentle,Technical,salary,hard worker,yes,no,Data Architect
8.1375,8.4,5,5,1,6,9,yes,yes,yes,python,game development,yes,yes,poor,excellent,Software Engineering,testing,higherstudies,BPA,yes,yes,Action and Adventure,Work,no,gentle,Technical,work,hard worker,no,yes,CRM Technical Developer
8.025,6.4,5,9,1,1,9,no,yes,no,app development,web technologies,yes,no,medium,excellent,Software Engineering,cloud computing,job,Web Services,no,yes,Dictionaries,Work,no,stubborn,Technical,salary,smart worker,no,no,Software Developer
6.887499999999999,9.4,5,3,2,6,7,no,yes,yes,machine learning,data science,yes,no,medium,medium,IOT,security,higherstudies,Cloud Services,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,E-Commerce Analyst
7.574999999999999,8.8,11,7,4,8,1,yes,yes,yes,full stack,web technologies,no,yes,poor,medium,Software Engineering,Business process analyst,job,SAaS services,no,yes,Childrens,salary,no,gentle,Management,work,smart worker,yes,no,Technical Services/Help Desk/Tech Support
7.325,7.8,8,9,0,5,8,yes,yes,no,machine learning,testing,yes,no,poor,excellent,Management,security,higherstudies,Cloud Services,yes,yes,Drama,Work,no,gentle,Technical,work,hard worker,yes,no,Systems Analyst
8.137500000000001,7.3,5,5,6,8,4,yes,yes,no,shell programming,testing,yes,no,poor,medium,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Comics,Work,yes,stubborn,Management,salary,hard worker,yes,no,Information Technology Auditor
7.3125,7.0,4,7,4,2,9,yes,yes,no,python,testing,no,yes,poor,excellent,data engineering,security,higherstudies,BPA,yes,no,Art,salary,no,stubborn,Technical,work,hard worker,no,no,Network Security Administrator
7.425,7.8,7,7,6,5,5,no,yes,yes,shell programming,cloud computing,yes,no,medium,medium,Software Engineering,system developer,job,Finance,yes,no,Horror,Work,yes,stubborn,Technical,salary,smart worker,no,yes,Database Manager
7.712499999999999,8.4,9,7,1,3,5,yes,yes,no,python,database security,yes,no,poor,poor,hacking,cloud computing,job,Product based,no,no,Self help,Work,yes,stubborn,Management,work,hard worker,yes,yes,Web Developer
7.7749999999999995,8.1,10,5,5,9,5,no,no,no,distro making,database security,yes,no,excellent,poor,Computer Architecture,system developer,job,Service Based,yes,no,Diaries,Work,yes,stubborn,Technical,salary,hard worker,yes,no,Information Security Analyst
8.0625,9.2,12,2,1,1,5,yes,yes,no,information security,database security,no,yes,excellent,poor,parallel computing,security,higherstudies,Web Services,yes,yes,Science fiction,Work,no,stubborn,Technical,work,smart worker,no,no,E-Commerce Analyst
7.55,6.9,11,4,3,2,4,yes,no,yes,machine learning,cloud computing,yes,no,poor,medium,hacking,cloud computing,job,SAaS services,no,no,Comics,Work,no,stubborn,Management,salary,smart worker,no,yes,Technical Services/Help Desk/Tech Support
7.2124999999999995,7.8,4,5,0,6,2,yes,yes,no,information security,testing,yes,yes,poor,poor,programming,testing,higherstudies,BPA,no,yes,Series,Work,yes,stubborn,Management,work,smart worker,yes,no,Applications Developer
8.05,7.1,6,8,1,4,6,no,yes,yes,information security,database security,yes,yes,medium,medium,hacking,security,higherstudies,Cloud Services,no,yes,Childrens,Work,yes,stubborn,Technical,work,hard worker,no,yes,Software Systems Engineer
7.5875,7.3,10,3,5,2,8,no,yes,yes,hadoop,cloud computing,yes,yes,poor,poor,cloud computing,Business process analyst,job,Service Based,yes,no,Self help,salary,no,stubborn,Technical,salary,hard worker,no,yes,CRM Technical Developer
6.9875,7.7,10,6,3,7,8,yes,yes,no,shell programming,system designing,yes,no,poor,poor,parallel computing,system developer,higherstudies,Finance,no,no,Guide,Work,no,stubborn,Technical,salary,smart worker,yes,no,Database Manager
7.6875,6.8,8,3,0,4,3,yes,no,no,machine learning,hacking,yes,yes,poor,poor,networks,cloud computing,higherstudies,Cloud Services,no,yes,Biographies,salary,yes,gentle,Technical,salary,hard worker,yes,no,Technical Support
7.449999999999999,7.5,5,9,6,1,7,no,no,no,full stack,testing,yes,no,poor,medium,Management,testing,job,Web Services,no,yes,Series,salary,yes,gentle,Technical,work,smart worker,no,no,Database Administrator
7.0125,9.2,9,5,0,7,9,yes,yes,yes,distro making,hacking,yes,no,excellent,poor,hacking,developer,job,Testing and Maintainance Services,yes,no,Health,Work,no,stubborn,Technical,salary,smart worker,no,yes,Network Engineer
7.950000000000001,9.3,6,3,4,3,8,yes,no,yes,machine learning,system designing,no,no,poor,poor,data engineering,security,job,product development,yes,yes,Diaries,Work,no,stubborn,Technical,salary,hard worker,no,yes,Mobile Applications Developer
6.9125000000000005,7.5,4,7,0,4,4,no,no,no,distro making,testing,yes,yes,poor,excellent,Computer Architecture,developer,job,Web Services,yes,yes,Journals,Work,no,stubborn,Management,work,hard worker,yes,yes,Technical Services/Help Desk/Tech Support
8.1,8.6,7,2,2,8,7,no,no,yes,full stack,cloud computing,yes,yes,poor,excellent,parallel computing,Business process analyst,job,Finance,no,yes,Diaries,Work,no,stubborn,Management,work,hard worker,no,no,Technical Support
7.55,8.9,7,6,5,6,5,yes,yes,no,machine learning,game development,yes,no,medium,medium,Management,security,job,BPA,yes,no,Diaries,Work,no,stubborn,Technical,salary,hard worker,yes,no,Information Technology Manager
7.5375000000000005,7.0,10,1,3,6,5,yes,no,no,r programming,web technologies,no,yes,poor,poor,Management,developer,higherstudies,Cloud Services,yes,no,Art,Work,yes,stubborn,Management,salary,smart worker,yes,yes,E-Commerce Analyst
7.85,6.4,10,2,5,1,8,yes,no,no,python,data science,no,no,medium,medium,cloud computing,security,job,Service Based,yes,no,Prayer books,salary,no,stubborn,Management,salary,hard worker,no,yes,Software Developer
7.55,6.1,9,8,2,1,8,no,no,no,information security,cloud computing,no,yes,excellent,poor,Computer Architecture,cloud computing,job,BPA,yes,no,Guide,Work,yes,stubborn,Management,work,smart worker,no,yes,Solutions Architect
7.875,7.0,8,3,5,4,3,no,yes,yes,python,database security,no,no,medium,excellent,data engineering,system developer,higherstudies,Web Services,no,no,Childrens,Work,yes,gentle,Management,work,hard worker,yes,no,Software Systems Engineer
7.387500000000001,7.6,12,7,0,4,6,no,yes,yes,hadoop,testing,yes,yes,medium,poor,data engineering,security,job,Cloud Services,yes,yes,Art,salary,no,gentle,Management,salary,smart worker,yes,no,Network Engineer
7.5125,8.3,8,3,2,7,4,yes,no,no,r programming,cloud computing,yes,no,excellent,medium,networks,system developer,job,Service Based,yes,yes,History,Work,yes,gentle,Management,salary,smart worker,yes,yes,Technical Support
7.9,6.7,4,6,0,9,7,yes,no,yes,hadoop,web technologies,yes,no,poor,poor,IOT,developer,higherstudies,Service Based,no,no,Health,salary,no,gentle,Technical,work,hard worker,yes,no,Information Technology Manager
7.525000000000001,9.4,5,7,0,6,3,no,no,yes,information security,web technologies,yes,yes,poor,excellent,programming,security,job,Cloud Services,no,no,Anthology,salary,no,stubborn,Technical,salary,smart worker,no,no,Software Engineer
7.324999999999999,7.5,5,4,5,6,1,yes,no,yes,information security,system designing,no,yes,poor,medium,hacking,testing,higherstudies,product development,yes,yes,Science fiction,Work,no,gentle,Management,salary,hard worker,yes,no,Software Developer
7.75,6.3,5,5,4,7,8,no,yes,no,python,testing,yes,no,medium,excellent,IOT,Business process analyst,higherstudies,Cloud Services,yes,yes,Travel,salary,no,stubborn,Management,work,smart worker,yes,yes,Programmer Analyst
8.0625,7.8,9,1,4,6,9,no,no,no,machine learning,system designing,no,no,excellent,poor,cloud computing,testing,higherstudies,Service Based,yes,no,Guide,Work,yes,stubborn,Management,salary,smart worker,yes,no,CRM Business Analyst
7.574999999999999,9.4,7,9,6,4,2,yes,yes,no,machine learning,cloud computing,no,no,excellent,poor,Computer Architecture,security,job,Service Based,no,no,Autobiographies,salary,no,stubborn,Technical,work,hard worker,no,yes,Software Developer
7.5125,7.3,6,5,6,3,1,yes,no,no,r programming,web technologies,yes,yes,medium,medium,parallel computing,system developer,job,Web Services,yes,no,Biographies,Work,no,stubborn,Management,work,hard worker,no,no,Business Intelligence Analyst
8.3,8.0,10,2,3,4,8,no,no,no,r programming,system designing,no,no,medium,poor,data engineering,testing,job,Web Services,yes,no,Encyclopedias,salary,no,gentle,Technical,salary,hard worker,no,no,Database Administrator
7.8625,6.9,8,6,3,4,5,no,yes,no,distro making,game development,yes,yes,poor,excellent,IOT,testing,job,Service Based,yes,no,Satire,Work,no,gentle,Management,work,hard worker,yes,no,Technical Engineer
7.375,6.3,10,5,2,7,3,yes,no,no,app development,testing,yes,yes,excellent,poor,Management,developer,higherstudies,Cloud Services,no,yes,Health,Work,no,gentle,Technical,salary,hard worker,no,no,Data Architect
8.375,8.3,8,5,6,1,9,yes,yes,yes,app development,testing,yes,yes,medium,medium,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Work,yes,stubborn,Technical,salary,hard worker,yes,yes,Network Security Engineer
7.375,7.9,5,6,0,3,4,yes,no,no,full stack,cloud computing,no,yes,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,yes,no,Self help,Work,yes,stubborn,Management,work,smart worker,no,no,CRM Technical Developer
7.487500000000001,8.5,6,7,0,3,1,yes,no,yes,app development,system designing,yes,yes,excellent,excellent,Management,system developer,higherstudies,BPA,yes,yes,Satire,salary,yes,gentle,Technical,work,hard worker,yes,no,Software Developer
8.112499999999999,6.5,12,9,0,6,3,yes,yes,yes,machine learning,system designing,no,yes,medium,medium,data engineering,security,job,Testing and Maintainance Services,no,yes,Prayer books,salary,yes,stubborn,Technical,salary,hard worker,no,yes,Systems Security Administrator
8.25,6.6,11,7,0,8,4,yes,yes,yes,distro making,testing,yes,no,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,no,yes,Encyclopedias,salary,yes,gentle,Technical,work,smart worker,no,no,Network Engineer
7.4625,6.1,11,6,0,1,1,yes,no,no,shell programming,hacking,no,no,medium,excellent,Management,testing,higherstudies,Finance,no,no,Drama,Work,no,gentle,Management,work,smart worker,yes,yes,Technical Services/Help Desk/Tech Support
7.8,6.8,7,8,3,9,1,no,no,no,machine learning,database security,yes,yes,poor,poor,Computer Architecture,testing,higherstudies,Web Services,yes,no,Health,Work,no,stubborn,Technical,salary,hard worker,no,no,Systems Security Administrator
8.149999999999999,7.8,9,4,5,5,2,yes,yes,yes,hadoop,web technologies,yes,yes,poor,medium,IOT,security,higherstudies,BPA,no,yes,Action and Adventure,salary,yes,gentle,Management,work,smart worker,yes,yes,Web Developer
7.6875,8.4,8,9,0,1,6,no,yes,no,full stack,hacking,no,no,poor,poor,Software Engineering,testing,higherstudies,Service Based,yes,yes,Fantasy,Work,yes,gentle,Technical,salary,hard worker,no,no,Portal Administrator
8.0375,7.5,5,6,5,6,8,yes,yes,no,full stack,game development,no,yes,poor,excellent,Computer Architecture,system developer,job,SAaS services,yes,yes,Anthology,salary,yes,stubborn,Management,salary,smart worker,yes,no,Software Developer
7.762499999999999,7.4,11,3,3,7,8,no,no,yes,distro making,data science,yes,yes,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Work,yes,stubborn,Management,salary,hard worker,no,yes,Network Security Engineer
7.612500000000001,7.2,5,2,3,4,4,yes,no,yes,machine learning,cloud computing,no,no,excellent,excellent,networks,system developer,job,BPA,no,yes,Horror,Work,no,gentle,Technical,salary,smart worker,no,yes,Solutions Architect
7.8999999999999995,8.3,5,7,6,7,8,no,yes,no,shell programming,cloud computing,yes,no,poor,excellent,hacking,developer,job,product development,no,yes,Poetry,salary,no,gentle,Management,work,smart worker,yes,yes,Network Security Administrator
7.4125000000000005,6.0,12,9,1,7,6,no,yes,yes,app development,hacking,yes,yes,excellent,excellent,data engineering,cloud computing,job,Service Based,no,no,Romance,salary,yes,gentle,Management,work,hard worker,yes,yes,Portal Administrator
6.8875,8.6,7,5,5,6,3,no,yes,yes,shell programming,cloud computing,no,no,excellent,poor,IOT,security,job,Sales and Marketing,yes,yes,Anthology,Work,no,stubborn,Technical,salary,hard worker,no,no,UX Designer
7.7875,7.3,4,1,2,8,2,yes,no,yes,app development,system designing,no,no,medium,poor,Management,cloud computing,job,BPA,no,yes,Self help,Work,no,stubborn,Management,work,hard worker,yes,no,Project Manager
7.55,6.4,10,1,3,7,2,no,yes,no,hadoop,data science,yes,no,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,no,yes,Horror,salary,yes,gentle,Management,work,smart worker,yes,no,Project Manager
7.925000000000001,8.1,5,2,0,2,3,yes,no,yes,distro making,game development,yes,yes,excellent,poor,Management,cloud computing,job,Finance,yes,yes,History,salary,yes,gentle,Technical,work,hard worker,yes,yes,Network Engineer
7.424999999999999,8.2,7,2,6,2,5,no,no,yes,machine learning,game development,no,yes,excellent,excellent,cloud computing,Business process analyst,job,Product based,yes,yes,Fantasy,Work,yes,stubborn,Management,salary,smart worker,no,no,Quality Assurance Associate
7.3374999999999995,9.3,6,7,6,4,3,no,no,yes,shell programming,testing,no,no,excellent,medium,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,salary,yes,gentle,Technical,salary,hard worker,no,yes,Applications Developer
7.425,6.7,8,2,1,8,8,no,yes,yes,shell programming,game development,no,no,excellent,excellent,hacking,system developer,job,product development,no,no,Guide,salary,no,gentle,Management,salary,hard worker,yes,no,Technical Engineer
8.05,6.8,6,2,3,2,8,no,no,no,distro making,testing,no,no,excellent,medium,networks,security,job,BPA,no,no,Prayer books,Work,yes,stubborn,Management,work,hard worker,yes,yes,Network Security Administrator
8.0,6.6,5,8,5,7,6,yes,no,yes,full stack,web technologies,yes,no,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Science fiction,salary,no,stubborn,Management,salary,smart worker,yes,no,CRM Technical Developer
7.7875000000000005,7.1,10,7,1,3,7,no,yes,yes,python,data science,no,no,medium,poor,Management,developer,job,Service Based,no,no,Horror,salary,no,stubborn,Technical,salary,hard worker,yes,yes,E-Commerce Analyst
7.9125,8.6,6,3,4,1,3,yes,no,yes,information security,hacking,yes,yes,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Guide,salary,yes,gentle,Management,salary,smart worker,no,yes,Software Quality Assurance (QA) / Testing
7.5625,7.6,12,2,3,7,1,yes,yes,no,machine learning,hacking,yes,yes,poor,medium,hacking,cloud computing,job,Cloud Services,no,yes,Art,salary,no,stubborn,Technical,work,hard worker,yes,yes,Network Security Administrator
8.3625,6.9,12,8,4,1,8,no,yes,yes,r programming,cloud computing,no,yes,poor,poor,networks,testing,job,Finance,no,yes,Self help,Work,no,gentle,Management,work,hard worker,no,yes,Network Engineer
7.5874999999999995,7.7,7,9,5,8,8,yes,yes,yes,information security,database security,yes,no,poor,poor,programming,Business process analyst,job,SAaS services,no,yes,Drama,Work,yes,stubborn,Technical,salary,hard worker,no,no,Technical Engineer
7.2749999999999995,6.5,7,7,5,1,7,no,no,yes,machine learning,system designing,no,no,poor,poor,parallel computing,system developer,higherstudies,Web Services,no,yes,Series,salary,yes,stubborn,Management,work,hard worker,yes,yes,Systems Security Administrator
7.687500000000001,8.2,6,2,2,5,6,no,yes,yes,python,data science,yes,yes,medium,medium,Computer Architecture,testing,job,BPA,yes,no,Childrens,salary,yes,gentle,Management,work,hard worker,yes,yes,Design & UX
8.0875,9.4,4,8,5,8,6,yes,yes,yes,app development,web technologies,no,no,poor,poor,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Mystery,salary,no,gentle,Management,work,smart worker,yes,no,Database Administrator
8.299999999999999,7.1,4,8,6,1,9,no,yes,yes,hadoop,data science,no,yes,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,yes,yes,Cookbooks,salary,no,gentle,Management,salary,hard worker,yes,no,Programmer Analyst
7.662499999999999,6.5,4,6,3,4,3,no,no,yes,python,cloud computing,yes,no,excellent,poor,programming,testing,job,SAaS services,yes,yes,Prayer books,salary,yes,stubborn,Technical,work,hard worker,yes,no,Software Quality Assurance (QA) / Testing
8.0,8.3,7,6,5,4,7,no,yes,yes,machine learning,data science,no,no,excellent,excellent,networks,system developer,job,Finance,no,no,Science fiction,salary,no,stubborn,Management,work,smart worker,no,no,CRM Business Analyst
7.112499999999999,6.9,12,6,2,1,9,no,no,yes,shell programming,game development,yes,yes,poor,medium,Management,testing,job,Web Services,yes,yes,Encyclopedias,salary,yes,stubborn,Technical,work,hard worker,yes,no,Database Manager
7.825,7.1,6,6,0,3,4,no,yes,yes,python,database security,yes,yes,excellent,medium,hacking,developer,job,product development,no,yes,Poetry,Work,no,gentle,Management,salary,smart worker,no,yes,Software Developer
7.112499999999999,9.0,6,4,1,7,3,yes,yes,yes,python,data science,yes,yes,poor,excellent,Management,testing,higherstudies,Product based,no,yes,Dictionaries,Work,no,gentle,Management,salary,smart worker,yes,no,Solutions Architect
7.8625,6.7,12,8,5,7,6,no,no,no,shell programming,data science,no,no,medium,excellent,Software Engineering,security,higherstudies,Product based,no,no,Horror,salary,no,stubborn,Management,salary,hard worker,no,no,Information Security Analyst
7.200000000000001,6.7,10,7,3,1,1,no,no,yes,machine learning,web technologies,no,yes,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,no,yes,Self help,salary,yes,gentle,Management,work,smart worker,no,yes,Network Security Engineer
7.250000000000001,8.1,11,1,5,2,8,no,yes,yes,information security,cloud computing,yes,no,excellent,excellent,programming,cloud computing,higherstudies,Service Based,yes,yes,Dictionaries,Work,no,gentle,Technical,salary,hard worker,no,no,Network Engineer
7.5,6.2,4,6,0,6,3,yes,no,no,shell programming,database security,no,no,medium,excellent,Software Engineering,security,job,Finance,yes,no,Trilogy,Work,no,stubborn,Technical,salary,hard worker,no,no,Technical Support
7.45,6.9,11,3,3,2,2,no,yes,yes,information security,game development,yes,yes,medium,excellent,Computer Architecture,security,job,Sales and Marketing,yes,yes,Encyclopedias,salary,no,gentle,Management,salary,smart worker,no,yes,Systems Analyst
7.1375,7.8,11,7,6,3,5,no,yes,yes,r programming,data science,no,yes,medium,medium,IOT,security,job,Service Based,yes,yes,Self help,Work,yes,gentle,Technical,salary,smart worker,no,yes,Information Technology Auditor
